null_model,observed,null_mean,null_sd,Z,empirical_p
A: CTS value shuffle,0.6564832016096164,0.6448815051902645,0.021058111715130997,0.5506616299253687,0.03896103896103896
B: network randomization,0.6564832016096164,0.6858068381425612,0.02034017590219565,-1.4409399008307529,0.935064935064935
C: drug-target mapping shuffle,0.6344632868870429,0.6493480892884599,0.010306283852373877,-1.4435230342756713,0.998001998001998
