trial,spearman_rho,top10_overlap,top20_overlap
0,0.9595928135955175,0.8,0.4
1,0.8444673282742022,0.8,0.45
2,0.9826493128562498,0.8,0.45
3,0.9829460206417243,0.8,0.55
4,0.9784325414470085,0.9,0.85
5,0.9734943370619072,0.8,0.8
6,0.9729080783072829,0.8,0.4
7,0.8486241627243608,0.8,0.45
8,0.9789186798661352,0.8,0.6
9,0.9775555281795921,0.8,0.4
10,0.6875537541342206,0.4,0.4
11,0.8585800916759535,0.8,0.45
12,0.9669567582310827,0.8,0.8
13,0.9471536105988922,0.8,0.55
14,0.9454185325445851,0.9,0.5
15,0.9673137147425717,0.8,0.45
16,0.8424438108894571,0.9,0.85
17,0.9620518303426525,0.9,0.85
18,0.964153677814647,0.8,0.85
19,0.9628852491036745,0.8,0.4
20,0.9734831743487299,0.8,0.4
21,0.9743867946541465,0.8,0.4
22,0.995371717909821,0.9,0.75
23,0.8290914498356146,0.8,0.45
24,0.9728537613721074,0.8,0.4
25,0.9289970216282994,0.6,0.35
26,0.9791439295127584,0.8,0.5
27,0.9910772632970236,0.8,0.5
28,0.9691927459938365,0.8,0.65
29,0.8002020737260573,0.8,0.45
30,0.9279473589699263,0.9,0.6
31,0.9382263815754032,0.9,0.6
32,0.7362278227306528,0.8,0.45
33,0.9797235146991413,0.8,0.45
34,0.9801377853299972,0.9,0.75
35,0.9903515085478098,0.9,0.75
36,0.9151208011585984,0.8,0.55
37,0.7824905866887839,0.7,0.45
38,0.874190404089937,0.8,0.45
39,0.7686303208777925,0.7,0.45
40,0.9763664496632461,0.9,0.8
41,0.8623970108810265,0.8,0.45
42,0.9846816336873387,0.8,0.4
43,0.9817325068083762,0.8,0.45
44,0.8071863353670979,0.8,0.45
45,0.9040769360015212,0.8,0.5
46,0.9819894761717982,0.8,0.4
47,0.9795138608710386,0.8,0.5
48,0.964131045478126,1.0,0.6
49,0.6882713973392564,0.1,0.15
50,0.9260007732978053,0.8,0.45
51,0.7527065026237616,0.8,0.45
52,0.9676870579780262,0.8,0.7
53,0.9744311008633627,0.8,0.4
54,0.8852057146463851,0.8,0.45
55,0.9715493188171811,0.8,0.6
56,0.9765590323371629,1.0,0.65
57,0.9928787023156704,0.8,0.55
58,0.7913180364710936,0.8,0.45
59,0.9369950019464512,0.8,0.45
60,0.9650709850432737,0.8,0.45
61,0.9456211180989181,0.9,0.8
62,0.892980912180764,0.8,0.55
63,0.8459968574005384,0.8,0.45
64,0.9791728606994473,0.8,0.55
65,0.9726537624185534,0.8,0.4
66,0.9638274459435977,0.8,0.45
67,0.9656593544357405,0.8,0.5
68,0.9562221994938088,0.8,0.45
69,0.9726472657486249,1.0,0.6
70,0.8009459978186664,0.8,0.45
71,0.9925609656732074,0.8,0.4
72,0.9904609757268971,0.8,0.4
73,0.8914743755387285,0.8,0.5
74,0.9777039740706602,0.8,0.6
75,0.9877866376808976,1.0,0.65
76,0.9889254907126976,0.9,0.85
77,0.9793872808816687,0.8,0.5
78,0.9641269009766826,0.8,0.4
79,0.9617494209022648,0.8,0.45
80,0.7754663449082495,0.7,0.45
81,0.958393698948597,0.9,0.85
82,0.8806022212962364,0.8,0.45
83,0.9334459775837035,0.8,0.45
84,0.8727732976707829,0.8,0.45
85,0.8466924622887309,0.8,0.45
86,0.969280509599245,0.8,0.5
87,0.9790400903899197,0.8,0.4
88,0.9177124690377285,0.8,0.45
89,0.9805059133341991,0.8,0.55
90,0.8262646633640706,0.8,0.45
91,0.9293102390512455,0.9,0.8
92,0.9709172463883096,0.8,0.4
93,0.9234071927873923,0.8,0.45
94,0.972143181770875,0.8,0.45
95,0.7287661237511743,0.4,0.35
96,0.9470845530093737,0.8,0.55
97,0.7233154105828241,0.6,0.45
98,0.9882082666838119,1.0,0.95
99,0.9544435827859009,0.8,0.75
100,0.8691062374884957,0.8,0.5
101,0.9787374375509029,0.8,0.5
102,0.8432724928105454,0.8,0.5
103,0.6656296726921127,0.2,0.25
104,0.9685679863581551,0.8,0.75
105,0.8461820957122949,0.8,0.45
106,0.8692328412012931,0.8,0.45
107,0.9764781117263629,0.9,0.9
108,0.9510625025431468,0.8,0.5
109,0.8056116525261123,0.8,0.45
110,0.9621171713864135,0.8,0.5
111,0.654860819031978,0.2,0.2
112,0.7158130285405665,0.5,0.45
113,0.8051054285831334,0.7,0.45
114,0.9728254023496554,0.8,0.45
115,0.8980540727930879,0.8,0.45
116,0.9495263816663739,0.9,0.8
117,0.9794609531448094,0.8,0.45
118,0.9804997769988486,0.8,0.4
119,0.7094618710172907,0.5,0.45
120,0.7645727045256965,0.6,0.45
121,0.9827902434644009,0.9,0.7
122,0.9392895449187416,0.8,0.4
123,0.9516378726181999,0.8,0.4
124,0.9671668416960592,0.8,0.45
125,0.9667995533517476,0.8,0.4
126,0.8754171314987396,0.8,0.5
127,0.8253575077075782,0.8,0.45
128,0.6579975048222116,0.2,0.2
129,0.978235337001121,0.8,0.4
130,0.9580397334569448,0.8,0.4
131,0.9725268949460754,0.7,0.75
132,0.9622934261779365,0.8,0.85
133,0.9700226630275378,0.8,0.4
134,0.8291536046549594,0.8,0.45
135,0.7563613332858342,0.8,0.45
136,0.9706096622519741,0.8,0.4
137,0.8193762854653541,0.8,0.45
138,0.979972733973755,0.9,0.6
139,0.957436428392354,0.8,0.45
140,0.9909530965592942,0.8,0.5
141,0.9919265713372307,1.0,0.85
142,0.910042817965765,0.8,0.55
143,0.9434018008072658,0.9,0.55
144,0.9834064923672087,0.8,0.5
145,0.961394118119143,0.8,0.8
146,0.9350502248587705,0.8,0.4
147,0.9754330702795646,0.8,0.7
148,0.9599752255313856,0.8,0.4
149,0.9795225279543747,0.8,0.6
150,0.9893181474332222,0.8,0.4
151,0.8223024490006041,0.8,0.45
152,0.8875873700440221,0.8,0.45
153,0.9672776362662882,0.9,0.85
154,0.7221621316523907,0.4,0.3
155,0.9197450489585322,0.9,0.55
156,0.968357093494668,0.9,0.85
157,0.9567137188345827,0.8,0.4
158,0.9603729719544762,0.8,0.55
159,0.9852675737634817,0.8,0.4
160,0.9662521645922949,0.8,0.5
161,0.9785796857251472,0.8,0.5
162,0.9573974130678401,0.8,0.8
163,0.9611015899532563,0.8,0.4
164,0.9770062923551791,0.9,0.7
165,0.7213148343127532,0.7,0.45
166,0.9701101066468745,1.0,0.6
167,0.9822094003759708,1.0,0.75
168,0.9901196408121414,1.0,0.75
169,0.9818147529423312,0.8,0.5
170,0.7067718964306668,0.8,0.45
171,0.9361372052156101,0.8,0.55
172,0.9689705385498774,0.8,0.4
173,0.9878813046168755,0.8,0.5
174,0.9987307079057096,1.0,0.85
175,0.9927306188139657,0.9,0.75
176,0.9343691721450926,0.8,0.55
177,0.9538864739591738,0.8,0.45
178,0.9019414733669195,0.8,0.5
179,0.9769622939901231,0.9,0.85
180,0.9752482933604512,1.0,0.8
181,0.9794283268942068,0.8,0.5
182,0.9759083556976605,0.8,0.4
183,0.9704924433028905,0.8,0.5
184,0.9610822925328695,0.8,0.45
185,0.9446264110402735,0.9,0.6
186,0.8976541505394295,0.8,0.5
187,0.8804945320666121,0.8,0.45
188,0.9673356753511804,0.9,0.65
189,0.9736501151732239,0.8,0.4
190,0.8819759803435975,0.8,0.45
191,0.8132859434895147,0.8,0.45
192,0.9310122313302935,0.9,0.55
193,0.8334353747060529,0.8,0.45
194,0.6844543694173745,0.2,0.2
195,0.955680592339088,0.8,0.4
196,0.987640344083769,0.9,0.85
197,0.9939250720876037,1.0,0.85
198,0.794860717338798,0.5,0.45
199,0.9815816545772176,0.8,0.75
200,0.924950645324018,0.8,0.4
201,0.7556471706998726,0.5,0.45
202,0.9767271798808763,1.0,0.8
203,0.9022215577545506,0.8,0.45
204,0.9885443805765571,0.8,0.5
205,0.8769220142256094,0.8,0.45
206,0.8906640798342572,0.8,0.45
207,0.9596896974577646,0.8,0.75
208,0.7957932994658805,0.8,0.45
209,0.9749237888164332,0.9,0.85
210,0.8493643717656015,0.8,0.45
211,0.8437676298805953,0.8,0.45
212,0.682131826636418,0.2,0.25
213,0.8791753957438015,0.8,0.45
214,0.6892336539248195,0.1,0.15
215,0.9669443992594099,0.8,0.5
216,0.6480040723075049,0.2,0.45
217,0.9140329775926942,0.8,0.45
218,0.9815832716930509,0.8,0.8
219,0.8506644798448665,0.8,0.45
220,0.776843439245342,0.7,0.45
221,0.9203829670640691,0.8,0.45
222,0.7839203399363159,0.8,0.45
223,0.9794304373452506,0.9,0.85
224,0.8717534443395091,0.8,0.45
225,0.5727657467093258,0.1,0.2
226,0.6832270401433511,0.2,0.15
227,0.9807028953029054,1.0,0.9
228,0.9768925450588349,0.8,0.45
229,0.7733552925596322,0.5,0.45
230,0.9797515429012006,0.9,0.85
231,0.8941139544672447,0.7,0.5
232,0.9924871914180088,1.0,0.75
233,0.9696181914797813,0.8,0.5
234,0.8317087513450272,0.8,0.45
235,0.9596333939190442,0.8,0.45
236,0.884874776757178,0.8,0.45
237,0.9760621410410772,1.0,0.8
238,0.9794164392155047,1.0,0.85
239,0.9597473911519697,0.9,0.9
240,0.989292402657748,0.9,0.85
241,0.9597098306152703,0.8,0.75
242,0.8609404230747498,0.8,0.45
243,0.9642378307891276,0.6,0.5
244,0.9774180518519068,1.0,0.75
245,0.7370212488366719,0.4,0.4
246,0.8015992132384959,0.8,0.45
247,0.8999340449491067,0.8,0.45
248,0.6788368663578321,0.2,0.15
249,0.648046618686726,0.1,0.2
250,0.9774568458200313,0.8,0.4
251,0.9751362468657313,0.8,0.6
252,0.985476987368532,0.9,0.75
253,0.9533678051171474,0.8,0.45
254,0.9096257205110779,0.8,0.45
255,0.9706665039575786,0.9,0.9
256,0.7141763423739336,0.4,0.3
257,0.9748102294395216,0.9,0.85
258,0.9792141344195285,0.8,0.5
259,0.9713019273672676,0.8,0.5
260,0.97907703374391,0.8,0.4
261,0.8847063775956954,0.8,0.5
262,0.931767795406607,0.8,0.55
263,0.6923677465763214,0.7,0.45
264,0.9276547047149573,0.4,0.2
265,0.897383035101738,0.5,0.55
266,0.9650229776057888,0.8,0.7
267,0.9939849946631908,0.8,0.5
268,0.977933573510433,0.9,0.8
269,0.9027427283907734,0.8,0.55
270,0.9824276534795027,0.8,0.45
271,0.8918456643627315,0.8,0.45
272,0.9810727749179624,0.8,0.4
273,0.9788303567987975,0.9,0.65
274,0.9634985180077655,0.8,0.8
275,0.9812252491217192,0.9,0.85
276,0.9772124433351694,0.8,0.4
277,0.7499294352256483,0.6,0.45
278,0.9625204911337512,0.8,0.4
279,0.9647752267552905,0.8,0.4
280,0.742445347681875,0.7,0.45
281,0.9450430398171709,0.8,0.4
282,0.946880043989436,0.9,0.5
283,0.934803811673339,0.8,0.45
284,0.8645085085576034,0.8,0.45
285,0.9555899288715796,0.8,0.5
286,0.8689154742333401,0.8,0.45
287,0.7931289426316549,0.8,0.45
288,0.804887485191748,0.7,0.45
289,0.7962201207238148,0.8,0.45
290,0.9502901499389914,0.8,0.75
291,0.9559499434636168,0.8,0.5
292,0.9955009239144834,0.9,0.7
293,0.8234605161405972,0.7,0.45
294,0.9799676192401712,0.8,0.4
295,0.9513574273355948,0.8,0.5
296,0.9810115404555206,1.0,0.8
297,0.9899012111838938,0.9,0.8
298,0.9735246003097036,0.8,0.5
299,0.9436375522734748,0.6,0.35
300,0.9550566938451405,0.8,0.8
301,0.8048043753008777,0.8,0.45
302,0.9576858430583463,0.8,0.4
303,0.9463798853983241,0.8,0.75
304,0.9540918119914793,0.8,0.4
305,0.989575679060553,1.0,0.95
306,0.9876555173637639,0.8,0.4
307,0.9715990969189822,1.0,0.65
308,0.9022420504994397,0.6,0.55
309,0.9639602459541091,0.8,0.4
310,0.7554419656681994,0.8,0.45
311,0.9791336469947768,0.8,0.4
312,0.971619510461248,0.8,0.4
313,0.9771470337363072,0.8,0.5
314,0.9789128465181801,0.8,0.55
315,0.9846482643517429,0.9,0.6
316,0.9755571785493196,1.0,0.6
317,0.9735039383252458,0.8,0.45
318,0.854759693159397,0.8,0.45
319,0.7579571430530947,0.5,0.45
320,0.9563301657458176,0.8,0.4
321,0.9279632990583419,0.8,0.45
322,0.9069397357566228,0.8,0.55
323,0.8387500880031747,0.8,0.45
324,0.7595897706456588,0.7,0.45
325,0.981045375853725,0.9,0.6
326,0.9554419811724867,0.8,0.5
327,0.699153064862927,0.4,0.45
328,0.7567238308054051,0.7,0.45
329,0.7023146697786423,0.2,0.2
